user_id,user_name,match_id,home_goals,away_goals
25,naza,537404,0,3
25,naza,537405,3,0
25,naza,537406,0,3
25,naza,537407,2,1
25,naza,537408,3,2
25,naza,537409,2,2
25,naza,537410,3,1
25,naza,537411,2,1
25,naza,537412,2,0
25,naza,537413,3,0
25,naza,537414,2,1
267,cetel,537327,2,0
267,cetel,537328,0,0
267,cetel,537329,0,1
267,cetel,537330,0,0
267,cetel,537332,1,2
267,cetel,537331,2,1
267,cetel,537333,2,1
267,cetel,537334,0,2
267,cetel,537335,1,2
267,cetel,537336,2,0
267,cetel,537337,1,1
267,cetel,537338,1,0
267,cetel,537339,2,1
267,cetel,537340,0,2
267,cetel,537342,0,0
267,cetel,537341,3,0
267,cetel,537344,1,0
267,cetel,537343,2,0
267,cetel,537345,1,0
267,cetel,537346,1,1
267,cetel,537348,0,0
267,cetel,537347,2,1
267,cetel,537350,0,0
267,cetel,537349,1,2
267,cetel,537351,4,0
267,cetel,537352,0,1
267,cetel,537353,3,1
267,cetel,537354,0,2
267,cetel,537356,1,3
267,cetel,537355,1,1
267,cetel,537357,1,1
267,cetel,537358,1,0
267,cetel,537359,1,0
267,cetel,537360,1,0
267,cetel,537361,3,0
267,cetel,537362,0,0
267,cetel,537363,2,1
267,cetel,537364,0,0
267,cetel,537365,1,1
267,cetel,537366,1,0
267,cetel,537368,2,1
267,cetel,537367,2,0
267,cetel,537369,5,0
267,cetel,537370,0,2
267,cetel,537371,3,0
267,cetel,537372,0,3
267,cetel,537373,2,1
267,cetel,537374,0,1
267,cetel,537391,2,1
267,cetel,537392,0,2
267,cetel,537393,2,0
267,cetel,537394,0,2
267,cetel,537395,1,1
267,cetel,537396,1,0
267,cetel,537397,2,0
267,cetel,537398,2,0
267,cetel,537399,1,0
267,cetel,537400,1,0
267,cetel,537401,4,0
267,cetel,537402,1,0
267,cetel,537403,3,0
267,cetel,537404,1,1
267,cetel,537405,2,1
267,cetel,537406,0,2
267,cetel,537407,1,0
267,cetel,537408,0,1
267,cetel,537409,1,1
267,cetel,537410,1,2
267,cetel,537411,2,0
267,cetel,537412,2,1
267,cetel,537413,2,0
267,cetel,537414,2,0
32,gabriel,537327,2,2
32,gabriel,537328,1,0
32,gabriel,537329,0,1
32,gabriel,537330,3,1
32,gabriel,537332,1,0
32,gabriel,537331,2,1
32,gabriel,537333,1,1
32,gabriel,537334,0,3
32,gabriel,537335,1,1
32,gabriel,537336,2,0
32,gabriel,537337,1,2
32,gabriel,537338,2,1
32,gabriel,537339,2,1
32,gabriel,537340,0,5
32,gabriel,537342,3,1
32,gabriel,537341,5,1
32,gabriel,537344,3,2
32,gabriel,537343,4,1
32,gabriel,537345,2,1
32,gabriel,537346,1,3
32,gabriel,537348,2,0
32,gabriel,537347,1,1
32,gabriel,537350,2,1
32,gabriel,537349,2,1
32,gabriel,537351,5,0
32,gabriel,537352,2,2
32,gabriel,537353,2,1
32,gabriel,537354,1,4
32,gabriel,537356,1,3
32,gabriel,537355,3,1
32,gabriel,537357,1,1
32,gabriel,537358,2,1
32,gabriel,537359,2,0
32,gabriel,537360,1,0
32,gabriel,537361,3,1
32,gabriel,537362,1,1
32,gabriel,537363,3,1
32,gabriel,537364,1,0
32,gabriel,537365,2,0
32,gabriel,537366,2,1
32,gabriel,537368,3,1
32,gabriel,537367,3,0
32,gabriel,537369,7,0
32,gabriel,537370,1,1
32,gabriel,537371,3,1
32,gabriel,537372,1,3
32,gabriel,537373,2,1
32,gabriel,537374,1,3
32,gabriel,537391,2,1
32,gabriel,537392,1,4
32,gabriel,537393,3,0
32,gabriel,537394,1,2
32,gabriel,537395,2,2
32,gabriel,537396,1,0
32,gabriel,537397,1,1
32,gabriel,537398,2,0
32,gabriel,537399,1,1
32,gabriel,537400,3,1
32,gabriel,537401,3,0
32,gabriel,537402,1,3
32,gabriel,537403,5,2
32,gabriel,537404,1,4
32,gabriel,537405,3,0
32,gabriel,537406,2,2
32,gabriel,537407,3,2
32,gabriel,537408,3,1
32,gabriel,537409,2,2
32,gabriel,537410,2,0
32,gabriel,537411,1,0
32,gabriel,537412,3,1
32,gabriel,537413,5,0
32,gabriel,537414,2,1
15,paulo,537327,2,0
15,paulo,537328,1,1
15,paulo,537329,0,1
15,paulo,537330,2,1
15,paulo,537332,0,1
15,paulo,537331,1,1
15,paulo,537333,0,1
15,paulo,537334,0,3
15,paulo,537335,0,1
15,paulo,537336,2,0
15,paulo,537337,1,1
15,paulo,537338,2,1
40,bernardo,537327,2,0
40,bernardo,537328,2,1
40,bernardo,537329,0,2
40,bernardo,537330,1,1
40,bernardo,537332,1,2
40,bernardo,537331,1,0
40,bernardo,537333,1,1
40,bernardo,537334,0,3
40,bernardo,537335,1,1
40,bernardo,537336,2,0
40,bernardo,537337,0,2
40,bernardo,537338,2,0
40,bernardo,537339,2,1
40,bernardo,537340,0,2
40,bernardo,537342,2,1
40,bernardo,537341,2,0
40,bernardo,537344,2,0
40,bernardo,537343,2,0
40,bernardo,537345,1,0
40,bernardo,537346,1,2
40,bernardo,537348,1,0
40,bernardo,537347,1,1
40,bernardo,537350,1,0
40,bernardo,537349,1,1
40,bernardo,537351,3,0
40,bernardo,537352,1,1
40,bernardo,537353,1,2
40,bernardo,537354,0,2
40,bernardo,537356,0,2
40,bernardo,537355,2,1
40,bernardo,537357,1,1
40,bernardo,537358,2,1
40,bernardo,537359,2,0
40,bernardo,537360,1,0
40,bernardo,537361,2,0
40,bernardo,537362,2,1
40,bernardo,537363,2,1
40,bernardo,537364,2,0
40,bernardo,537365,2,0
40,bernardo,537366,2,0
40,bernardo,537368,1,1
40,bernardo,537367,2,0
40,bernardo,537369,3,0
40,bernardo,537370,1,2
40,bernardo,537371,2,0
40,bernardo,537372,0,2
40,bernardo,537373,1,0
40,bernardo,537374,1,1
40,bernardo,537391,2,1
40,bernardo,537392,0,2
40,bernardo,537393,3,0
40,bernardo,537394,1,2
40,bernardo,537395,1,1
40,bernardo,537396,2,0
40,bernardo,537397,1,1
40,bernardo,537398,2,0
